"y1_statefips","y2_statefips","y2_state","y2_state_name","n1","n2","AGI","Year"
1,96,"AL","AL Total Migration-US and Foreign",47342,98079,2166615,2014
1,97,"AL","AL Total Migration-US",46500,96189,2126211,2014
1,98,"AL","AL Total Migration-Foreign",842,1890,40404,2014
1,97,"AL","AL Total Migration-Same State",56941,120358,2291807,2014
1,1,"AL","AL Non-migrants",1580065,3564148,91645908,2014
1,13,"GA","Georgia",8599,17877,337056,2014
1,12,"FL","Florida",6676,13270,270965,2014
1,48,"TX","Texas",5212,11506,285880,2014
1,47,"TN","Tennessee",3923,7996,176116,2014
1,28,"MS","Mississippi",2562,5364,101504,2014
1,6,"CA","California",1590,3007,79686,2014
1,37,"NC","North Carolina",1588,3353,79762,2014
1,22,"LA","Louisiana",1374,2793,67489,2014
1,51,"VA","Virginia",1258,2818,74468,2014
1,45,"SC","South Carolina",982,2073,56487,2014
1,39,"OH","Ohio",871,1825,41072,2014
1,57,"FR","Foreign",842,1890,40404,2014
1,36,"NY","New York",813,1481,29005,2014
1,8,"CO","Colorado",812,1647,37991,2014
1,21,"KY","Kentucky",752,1694,35117,2014
1,26,"MI","Michigan",715,1480,28884,2014
1,17,"IL","Illinois",712,1387,30007,2014
1,18,"IN","Indiana",617,1346,25336,2014
1,29,"MO","Missouri",601,1213,28736,2014
1,53,"WA","Washington",580,1257,28211,2014
1,42,"PA","Pennsylvania",507,996,28329,2014
1,24,"MD","Maryland",497,1003,28769,2014
1,4,"AZ","Arizona",472,966,23999,2014
1,5,"AR","Arkansas",463,960,21761,2014
1,40,"OK","Oklahoma",397,884,19150,2014
1,20,"KS","Kansas",341,790,16064,2014
1,15,"HI","Hawaii",275,608,12392,2014
1,55,"WI","Wisconsin",252,517,9930,2014
1,32,"NV","Nevada",249,480,9386,2014
1,34,"NJ","New Jersey",249,503,14101,2014
1,25,"MA","Massachusetts",229,405,10844,2014
1,41,"OR","Oregon",203,405,8982,2014
1,2,"AK","Alaska",193,413,8603,2014
1,27,"MN","Minnesota",182,394,8552,2014
1,35,"NM","New Mexico",170,348,8471,2014
1,19,"IA","Iowa",167,337,7358,2014
1,49,"UT","Utah",158,337,8952,2014
1,9,"CT","Connecticut",146,289,16503,2014
1,31,"NE","Nebraska",143,346,6256,2014
1,54,"WV","West Virginia",131,258,5898,2014
1,11,"DC","District Of Columbia",116,148,6270,2014
1,38,"ND","North Dakota",103,188,3691,2014
1,30,"MT","Montana",97,172,3560,2014
1,16,"ID","Idaho",89,216,3845,2014
1,33,"NH","New Hampshire",76,143,4334,2014
1,56,"WY","Wyoming",76,148,3028,2014
1,10,"DE","Delaware",75,144,3877,2014
1,23,"ME","Maine",72,136,3023,2014
1,46,"SD","South Dakota",62,128,2565,2014
1,44,"RI","Rhode Island",38,77,1798,2014
1,50,"VT","Vermont",35,63,2150,2014
2,96,"AK","AK Total Migration-US and Foreign",19096,39165,1026257,2014
2,97,"AK","AK Total Migration-US",18644,38222,1001349,2014
2,98,"AK","AK Total Migration-Foreign",452,943,24908,2014
2,97,"AK","AK Total Migration-Same State",6924,12930,376019,2014
2,2,"AK","AK Non-migrants",259665,547420,19728052,2014
2,53,"WA","Washington",2287,4378,126189,2014
2,48,"TX","Texas",1669,3746,102379,2014
2,6,"CA","California",1576,2980,67893,2014
2,41,"OR","Oregon",1050,1873,56646,2014
2,12,"FL","Florida",1036,2027,54412,2014
2,4,"AZ","Arizona",849,1640,51740,2014
2,8,"CO","Colorado",749,1544,43564,2014
2,37,"NC","North Carolina",562,1262,25764,2014
2,13,"GA","Georgia",536,1262,25961,2014
2,16,"ID","Idaho",463,999,28809,2014
2,57,"FR","Foreign",452,943,24908,2014
2,32,"NV","Nevada",447,849,29182,2014
2,15,"HI","Hawaii",443,1018,22429,2014
2,51,"VA","Virginia",434,1002,25014,2014
2,36,"NY","New York",390,745,17824,2014
2,30,"MT","Montana",371,706,23219,2014
2,26,"MI","Michigan",322,648,17436,2014
2,27,"MN","Minnesota",322,645,17749,2014
2,49,"UT","Utah",306,672,18167,2014
2,39,"OH","Ohio",286,581,12887,2014
2,47,"TN","Tennessee",274,650,15334,2014
2,40,"OK","Oklahoma",271,625,13363,2014
2,29,"MO","Missouri",259,589,13268,2014
2,42,"PA","Pennsylvania",256,480,11817,2014
2,17,"IL","Illinois",248,476,11385,2014
2,1,"AL","Alabama",226,512,10232,2014
2,45,"SC","South Carolina",224,534,10971,2014
2,35,"NM","New Mexico",223,466,12690,2014
2,55,"WI","Wisconsin",219,404,13343,2014
2,22,"LA","Louisiana",208,462,10445,2014
2,20,"KS","Kansas",207,552,10618,2014
2,21,"KY","Kentucky",176,393,8561,2014
2,24,"MD","Maryland",174,338,8063,2014
2,18,"IN","Indiana",163,355,7366,2014
2,5,"AR","Arkansas",135,294,7552,2014
2,56,"WY","Wyoming",130,282,11148,2014
2,25,"MA","Massachusetts",127,239,6262,2014
2,38,"ND","North Dakota",120,224,5835,2014
2,34,"NJ","New Jersey",119,217,4483,2014
2,31,"NE","Nebraska",108,238,6057,2014
2,28,"MS","Mississippi",104,232,4951,2014
2,46,"SD","South Dakota",104,237,5512,2014
2,19,"IA","Iowa",96,184,4700,2014
2,23,"ME","Maine",73,156,3777,2014
2,9,"CT","Connecticut",61,95,2698,2014
2,54,"WV","West Virginia",57,101,2203,2014
2,33,"NH","New Hampshire",52,98,3960,2014
2,50,"VT","Vermont",45,74,2747,2014
2,10,"DE","Delaware",33,59,1689,2014
2,11,"DC","District Of Columbia",33,47,2049,2014
2,44,"RI","Rhode Island",21,32,1004,2014
4,96,"AZ","AZ Total Migration-US and Foreign",85908,168291,4614097,2014
4,97,"AZ","AZ Total Migration-US",83740,163846,4509845,2014
4,98,"AZ","AZ Total Migration-Foreign",2168,4445,104251,2014
4,97,"AZ","AZ Total Migration-Same State",37532,77910,1577171,2014
4,4,"AZ","AZ Non-migrants",2165296,4860906,133659064,2014
4,6,"CA","California",16005,30216,843202,2014
4,48,"TX","Texas",9113,20296,552440,2014
4,8,"CO","Colorado",4722,8881,275112,2014
4,53,"WA","Washington",4654,8576,254472,2014
4,12,"FL","Florida",3533,6472,192942,2014
4,32,"NV","Nevada",3328,6694,178965,2014
4,35,"NM","New Mexico",3094,6974,125090,2014
4,41,"OR","Oregon",2763,5177,135999,2014
4,17,"IL","Illinois",2543,4437,136874,2014
4,49,"UT","Utah",2354,5677,111292,2014
4,57,"FR","Foreign",2168,4445,104251,2014
4,36,"NY","New York",2008,3339,126335,2014
4,26,"MI","Michigan",1891,3440,91054,2014
4,39,"OH","Ohio",1698,3165,81758,2014
4,37,"NC","North Carolina",1628,3392,95855,2014
4,27,"MN","Minnesota",1560,2814,91092,2014
4,13,"GA","Georgia",1404,2926,65047,2014
4,51,"VA","Virginia",1397,2790,88763,2014
4,29,"MO","Missouri",1241,2444,56170,2014
4,55,"WI","Wisconsin",1232,2168,64022,2014
4,42,"PA","Pennsylvania",1211,2223,66835,2014
4,16,"ID","Idaho",1159,2493,64382,2014
4,18,"IN","Indiana",1059,1986,52285,2014
4,47,"TN","Tennessee",1016,2037,62545,2014
4,40,"OK","Oklahoma",935,2008,42846,2014
4,19,"IA","Iowa",777,1436,35268,2014
4,20,"KS","Kansas",746,1557,39745,2014
4,15,"HI","Hawaii",732,1411,36054,2014
4,30,"MT","Montana",731,1344,38156,2014
4,25,"MA","Massachusetts",726,1241,42669,2014
4,24,"MD","Maryland",717,1396,41488,2014
4,45,"SC","South Carolina",713,1457,44330,2014
4,34,"NJ","New Jersey",680,1213,44733,2014
4,31,"NE","Nebraska",629,1242,31960,2014
4,2,"AK","Alaska",595,1131,29911,2014
4,38,"ND","North Dakota",544,1068,30588,2014
4,21,"KY","Kentucky",483,980,22963,2014
4,56,"WY","Wyoming",477,950,21710,2014
4,1,"AL","Alabama",472,938,26511,2014
4,22,"LA","Louisiana",471,925,22743,2014
4,46,"SD","South Dakota",449,826,31417,2014
4,5,"AR","Arkansas",436,901,21483,2014
4,9,"CT","Connecticut",390,674,23236,2014
4,28,"MS","Mississippi",245,495,10062,2014
4,33,"NH","New Hampshire",244,408,11915,2014
4,23,"ME","Maine",231,409,9320,2014
4,54,"WV","West Virginia",152,269,6994,2014
4,11,"DC","District Of Columbia",151,198,9318,2014
4,10,"DE","Delaware",140,272,6509,2014
4,50,"VT","Vermont",133,227,6574,2014
4,44,"RI","Rhode Island",128,253,8812,2014
5,96,"AR","AR Total Migration-US and Foreign",31587,65291,1407612,2014
5,97,"AR","AR Total Migration-US",31097,64183,1380100,2014
5,98,"AR","AR Total Migration-Foreign",490,1108,27512,2014
5,97,"AR","AR Total Migration-Same State",39706,82182,1450699,2014
5,5,"AR","AR Non-migrants",940560,2127015,54578020,2014
5,48,"TX","Texas",6844,14132,293225,2014
5,40,"OK","Oklahoma",2794,6000,105994,2014
5,29,"MO","Missouri",2646,5544,95948,2014
5,47,"TN","Tennessee",1783,3657,70631,2014
5,12,"FL","Florida",1712,3301,108500,2014
5,6,"CA","California",1562,3011,64488,2014
5,22,"LA","Louisiana",1284,2679,56956,2014
5,28,"MS","Mississippi",894,1932,39241,2014
5,13,"GA","Georgia",829,1807,34876,2014
5,17,"IL","Illinois",826,1663,37793,2014
5,8,"CO","Colorado",758,1472,37344,2014
5,37,"NC","North Carolina",595,1258,31476,2014
5,20,"KS","Kansas",570,1215,25162,2014
5,4,"AZ","Arizona",559,1134,22267,2014
5,1,"AL","Alabama",496,1097,25035,2014
5,57,"FR","Foreign",490,1108,27512,2014
5,39,"OH","Ohio",478,1014,26866,2014
5,26,"MI","Michigan",460,969,17513,2014
5,53,"WA","Washington",446,926,22503,2014
5,51,"VA","Virginia",419,856,21188,2014
5,18,"IN","Indiana",403,865,15460,2014
5,36,"NY","New York",348,591,15038,2014
5,55,"WI","Wisconsin",327,658,15948,2014
5,21,"KY","Kentucky",319,684,14938,2014
5,42,"PA","Pennsylvania",314,685,18035,2014
5,45,"SC","South Carolina",288,632,15018,2014
5,19,"IA","Iowa",278,584,7668,2014
5,27,"MN","Minnesota",269,543,15110,2014
5,41,"OR","Oregon",261,506,13279,2014
5,35,"NM","New Mexico",224,444,9241,2014
5,32,"NV","Nevada",223,439,8012,2014
5,24,"MD","Maryland",188,386,10848,2014
5,31,"NE","Nebraska",186,368,7634,2014
5,34,"NJ","New Jersey",167,340,10085,2014
5,49,"UT","Utah",151,336,8486,2014
5,38,"ND","North Dakota",137,301,6679,2014
5,25,"MA","Massachusetts",123,204,6825,2014
5,15,"HI","Hawaii",113,227,4534,2014
5,2,"AK","Alaska",112,231,4189,2014
5,30,"MT","Montana",102,215,3781,2014
5,16,"ID","Idaho",96,223,4915,2014
5,56,"WY","Wyoming",88,202,3808,2014
5,46,"SD","South Dakota",78,158,3549,2014
5,54,"WV","West Virginia",71,145,2892,2014
5,9,"CT","Connecticut",68,131,4854,2014
5,11,"DC","District Of Columbia",45,73,5121,2014
5,23,"ME","Maine",44,94,2693,2014
5,10,"DE","Delaware",39,90,699,2014
5,33,"NH","New Hampshire",32,72,1600,2014
5,44,"RI","Rhode Island",30,62,1651,2014
5,50,"VT","Vermont",18,27,507,2014
6,96,"CA","CA Total Migration-US and Foreign",268472,512732,21211090,2014
6,97,"CA","CA Total Migration-US",256157,487994,16826472,2014
6,98,"CA","CA Total Migration-Foreign",12315,24738,4384618,2014
6,97,"CA","CA Total Migration-Same State",443921,846369,28388559,2014
6,6,"CA","CA Non-migrants",13289353,30251074,1049004544,2014
6,48,"TX","Texas",33626,71321,2187995,2014
6,32,"NV","Nevada",20618,39337,1455453,2014
6,4,"AZ","Arizona",19302,37955,1091182,2014
6,53,"WA","Washington",18383,35225,1289415,2014
6,41,"OR","Oregon",14271,25666,842814,2014
6,12,"FL","Florida",12861,23517,1037140,2014
6,36,"NY","New York",12785,18277,1126318,2014
6,57,"FR","Foreign",12315,24738,4384618,2014
6,8,"CO","Colorado",10379,19280,668533,2014
6,51,"VA","Virginia",7138,14546,504143,2014
6,17,"IL","Illinois",7085,12385,482386,2014
6,37,"NC","North Carolina",6625,13657,429191,2014
6,13,"GA","Georgia",6584,13149,374988,2014
6,15,"HI","Hawaii",5770,10436,414777,2014
