"y1_statefips","y2_statefips","y2_state","y2_state_name","n1","n2","AGI","Year"
1,96,"AL","AL Total Migration-US and Foreign",45058,89699,2821594,2020
1,97,"AL","AL Total Migration-US",44502,88386,2786158,2020
1,98,"AL","AL Total Migration-Foreign",556,1313,35436,2020
1,97,"AL","AL Total Migration-Same State",63266,129762,3419262,2020
1,1,"AL","AL Non-migrants",1590633,3498183,111701780,2020
1,13,"GA","Georgia",7830,15636,433366,2020
1,12,"FL","Florida",6902,13551,517167,2020
1,47,"TN","Tennessee",4109,7842,293025,2020
1,48,"TX","Texas",3803,7814,254186,2020
1,28,"MS","Mississippi",2431,4933,117760,2020
1,37,"NC","North Carolina",1747,3447,118007,2020
1,6,"CA","California",1502,2743,86102,2020
1,51,"VA","Virginia",1278,2657,97916,2020
1,8,"CO","Colorado",1026,1935,62243,2020
1,22,"LA","Louisiana",1014,2006,60780,2020
1,45,"SC","South Carolina",985,1939,63819,2020
1,39,"OH","Ohio",833,1702,44947,2020
1,36,"NY","New York",736,1351,35467,2020
1,26,"MI","Michigan",729,1531,33641,2020
1,21,"KY","Kentucky",700,1534,43977,2020
1,17,"IL","Illinois",699,1398,38453,2020
1,18,"IN","Indiana",626,1221,29529,2020
1,53,"WA","Washington",577,1121,34271,2020
1,57,"FR","Foreign",556,1313,35436,2020
1,4,"AZ","Arizona",547,1028,32256,2020
1,42,"PA","Pennsylvania",534,1046,30731,2020
1,29,"MO","Missouri",522,1134,31900,2020
1,24,"MD","Maryland",433,840,28684,2020
1,5,"AR","Arkansas",416,871,26146,2020
1,40,"OK","Oklahoma",397,841,22058,2020
1,20,"KS","Kansas",346,762,19276,2020
1,34,"NJ","New Jersey",274,520,16027,2020
1,32,"NV","Nevada",269,492,16263,2020
1,41,"OR","Oregon",260,465,13155,2020
1,55,"WI","Wisconsin",257,550,13460,2020
1,25,"MA","Massachusetts",249,421,15646,2020
1,15,"HI","Hawaii",247,576,14584,2020
1,49,"UT","Utah",233,577,17720,2020
1,2,"AK","Alaska",218,489,13608,2020
1,27,"MN","Minnesota",218,416,13185,2020
1,35,"NM","New Mexico",182,345,11350,2020
1,19,"IA","Iowa",175,375,10248,2020
1,54,"WV","West Virginia",145,301,8273,2020
1,9,"CT","Connecticut",142,265,8208,2020
1,31,"NE","Nebraska",119,230,6946,2020
1,11,"DC","District Of Columbia",115,168,8651,2020
1,16,"ID","Idaho",100,190,6976,2020
1,30,"MT","Montana",94,198,6215,2020
1,23,"ME","Maine",83,147,4837,2020
1,56,"WY","Wyoming",82,173,5647,2020
1,38,"ND","North Dakota",70,149,3584,2020
1,33,"NH","New Hampshire",66,118,4659,2020
1,10,"DE","Delaware",65,114,3107,2020
1,46,"SD","South Dakota",53,102,3588,2020
1,44,"RI","Rhode Island",37,61,1641,2020
1,50,"VT","Vermont",27,61,2871,2020
2,96,"AK","AK Total Migration-US and Foreign",17087,35388,1139389,2020
2,97,"AK","AK Total Migration-US",16682,34463,1117592,2020
2,98,"AK","AK Total Migration-Foreign",405,925,21797,2020
2,97,"AK","AK Total Migration-Same State",6549,13007,409093,2020
2,2,"AK","AK Non-migrants",258818,562944,22469636,2020
2,53,"WA","Washington",1907,3591,127582,2020
2,48,"TX","Texas",1433,3230,116644,2020
2,6,"CA","California",1215,2237,61275,2020
2,4,"AZ","Arizona",978,1882,81178,2020
2,12,"FL","Florida",855,1757,53775,2020
2,41,"OR","Oregon",796,1475,51218,2020
2,8,"CO","Colorado",721,1466,51659,2020
2,16,"ID","Idaho",512,1101,46127,2020
2,37,"NC","North Carolina",512,1144,29714,2020
2,13,"GA","Georgia",499,1176,27601,2020
2,32,"NV","Nevada",472,938,30658,2020
